pmid,start,end,set,mention,concept
2393028,146,216,train,glucose-6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2393028,242,253,train,enzymopathy,"metabolism, inborn errors"
2393028,388,403,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2404853,64,67,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2404853,178,181,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2404853,204,229,train,becker muscular dystrophy,becker's muscular dystrophy
2404853,399,424,train,becker muscular dystrophy,becker's muscular dystrophy
2450401,0,27,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
2450401,110,137,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
2450401,139,142,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2450401,268,271,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2450401,408,411,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2491010,100,127,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
2491010,129,132,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2491010,174,201,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
2491010,203,206,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2491010,210,235,train,becker muscular dystrophy,becker's muscular dystrophy
2491010,237,240,train,becker's muscular dystrophy,becker's muscular dystrophy
2491010,312,315,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2491010,953,956,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2491010,958,961,train,becker's muscular dystrophy,becker's muscular dystrophy
2491010,1071,1074,train,becker's muscular dystrophy,becker's muscular dystrophy
2491010,1186,1189,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2491010,1231,1234,train,becker's muscular dystrophy,becker's muscular dystrophy
2544995,147,164,train,familial aniridia,aniridia
2544995,272,276,train,wagr,wagr syndrome
2544995,286,297,train,wilms tumor,wilms tumor
2544995,299,307,train,aniridia,aniridia
2544995,309,336,train,genitourinary abnormalities,urogenital abnormalities
2544995,342,360,train,mental retardation,intellectual disability
2562820,51,69,train,myotonic dystrophy,myotonic dystrophy
2562820,319,337,train,muscular dystrophy,muscular dystrophies
2562820,339,357,train,myotonic dystrophy,myotonic dystrophy
2562820,359,361,train,myotonic dystrophy,myotonic dystrophy
2562820,487,489,train,myotonic dystrophy,myotonic dystrophy
2562820,1529,1531,train,myotonic dystrophy,myotonic dystrophy
2563633,125,140,train,phenylketonuria,phenylketonurias
2563633,779,794,train,phenylketonuria,phenylketonurias
2563633,796,799,train,phenylketonuria,phenylketonurias
2563633,917,920,train,phenylketonuria,phenylketonurias
2568588,57,71,train,retinoblastoma,retinoblastoma
2568588,128,150,train,retinoblastoma tumours,retinoblastoma
2568588,218,232,train,retinoblastoma,retinoblastoma
2568588,308,314,train,tumour,neoplasms
2568588,587,601,train,retinoblastoma,retinoblastoma
2568588,767,789,train,retinoblastoma tumours,retinoblastoma
2568588,871,878,train,tumours,neoplasms
2568588,961,979,train,unilateral tumours,neoplasms
2568588,1110,1124,train,retinoblastoma,retinoblastoma
2568588,1166,1178,train,osteosarcoma,osteosarcoma
2568588,1193,1200,train,tumours,neoplasms
2569949,68,83,train,phenylketonuria,phenylketonurias
2569949,215,230,train,phenylketonuria,phenylketonurias
2569949,232,235,train,phenylketonuria,phenylketonurias
2569949,726,729,train,phenylketonuria,phenylketonurias
2571579,0,18,train,huntington disease,huntington disease
2571579,85,103,train,huntington disease,huntington disease
2571579,105,107,train,huntington disease,huntington disease
2571579,143,145,train,huntington disease,huntington disease
2571579,688,690,train,huntington disease,huntington disease
2575071,53,66,train,choroideremia,choroideremia
2575071,108,121,train,choroideremia,choroideremia
2575071,123,126,train,choroideremia,choroideremia
2575071,232,235,train,choroideremia,choroideremia
2575071,261,264,train,choroideremia,choroideremia
2575071,476,479,train,choroideremia,choroideremia
2575071,558,561,train,choroideremia,choroideremia
2575071,615,618,train,choroideremia,choroideremia
2575071,749,752,train,choroideremia,choroideremia
2575071,874,877,train,choroideremia,choroideremia
2575071,973,986,train,choroideremia,choroideremia
2575071,1082,1085,train,choroideremia,choroideremia
2575483,19,27,train,aniridia,aniridia
2575483,157,165,train,aniridia,aniridia
2575483,202,210,train,aniridia,aniridia
2575483,527,535,train,aniridia,aniridia
2575483,681,689,train,aniridia,aniridia
2591962,33,51,train,myotonic dystrophy,myotonic dystrophy
2591962,137,155,train,myotonic dystrophy,myotonic dystrophy
2591962,157,159,train,myotonic dystrophy,myotonic dystrophy
2591962,227,229,train,myotonic dystrophy,myotonic dystrophy
2591962,339,341,train,myotonic dystrophy,myotonic dystrophy
2591962,398,400,train,myotonic dystrophy,myotonic dystrophy
2591962,473,475,train,myotonic dystrophy,myotonic dystrophy
2591962,634,636,train,myotonic dystrophy,myotonic dystrophy
2591962,788,790,train,myotonic dystrophy,myotonic dystrophy
2591962,951,953,train,myotonic dystrophy,myotonic dystrophy
2601691,170,195,train,retinoblastoma tumor,retinoblastoma
2601691,248,257,train,retinoblastoma tumors,retinoblastoma
2601691,409,418,train,retinoblastoma tumors,retinoblastoma
2601691,425,431,train,tumors,neoplasms
2601691,924,933,train,retinoblastoma tumors,retinoblastoma
2651669,28,51,train,langer-giedion syndrome,langer-giedion syndrome
2651669,270,293,train,langer-giedion syndrome,langer-giedion syndrome
2651669,295,298,train,langer-giedion syndrome,langer-giedion syndrome
2651669,420,423,train,langer-giedion syndrome,langer-giedion syndrome
2651669,479,482,train,langer-giedion syndrome,langer-giedion syndrome
2651669,575,578,train,langer-giedion syndrome,langer-giedion syndrome
2651669,701,704,train,langer-giedion syndrome,langer-giedion syndrome
2703233,0,18,train,myotonic dystrophy,myotonic dystrophy
2703233,194,212,train,myotonic dystrophy,myotonic dystrophy
2703233,214,216,train,myotonic dystrophy,myotonic dystrophy
2703233,236,254,train,myotonic dystrophy,myotonic dystrophy
2703233,527,545,train,myotonic dystrophy,myotonic dystrophy
2729274,0,20,train,color vision defects,color vision defects
2729274,24,45,train,adrenomyeloneuropathy,adrenoleukodystrophy
2729274,72,93,train,abnormal color vision,color vision defects
2729274,98,119,train,adrenomyeloneuropathy,adrenoleukodystrophy
2729274,121,124,train,adrenomyeloneuropathy,adrenoleukodystrophy
2729274,149,152,train,adrenomyeloneuropathy,adrenoleukodystrophy
2729274,516,519,train,adrenomyeloneuropathy,adrenoleukodystrophy
2729274,602,623,train,abnormal color vision,color vision defects
2729274,697,700,train,adrenomyeloneuropathy,adrenoleukodystrophy
2729274,721,741,train,adrenoleukodystrophy,adrenoleukodystrophy
2729274,866,889,train,contiguous gene defects,chromosome disorders
2760209,31,42,train,lesch-nyhan,lesch-nyhan syndrome
2760209,129,149,train,lesch-nyhan syndrome,lesch-nyhan syndrome
2760209,151,207,train,hypoxanthine phosphoribosyltransferase [hypoxanthine-guanine phosphoribosyltransferase] deficiency,lesch-nyhan syndrome
2773936,0,28,train,pelizaeus-merzbacher disease,pelizaeus-merzbacher disease
2773936,33,82,train,x-linked neurologic disorder of myelin metabolism,hereditary central nervous system demyelinating diseases
2773936,167,201,train,inborn errors of myelin metabolism,hereditary central nervous system demyelinating diseases
2773936,276,304,train,pelizaeus-merzbacher disease,pelizaeus-merzbacher disease
2773936,331,351,train,neurologic disorders,nervous system diseases
2773936,372,389,train,deficit of myelin,demyelinating diseases
2773936,496,516,train,pelizaeus-merzbacher,pelizaeus-merzbacher disease
2773936,721,749,train,pelizaeus-merzbacher disease,pelizaeus-merzbacher disease
2773936,1297,1325,train,pelizaeus-merzbacher disease,pelizaeus-merzbacher disease
2773936,1375,1398,train,dysmyelinating disorder,demyelinating diseases
2773936,1444,1478,train,inborn errors of myelin metabolism,hereditary central nervous system demyelinating diseases
2773936,1574,1612,train,pelizaeus-merzbacher disease (type ii),pelizaeus-merzbacher disease
2773936,1746,1774,train,pelizaeus-merzbacher disease,pelizaeus-merzbacher disease
2786201,25,47,train,von willebrand disease,von willebrand diseases
2786201,70,84,train,von willebrand,von willebrand diseases
2786201,98,120,train,von willebrand disease,von willebrand diseases
2786201,122,125,train,von willebrand disease,von willebrand diseases
2786201,144,171,train,inherited bleeding disorder,"blood coagulation disorders, inherited"
2786201,275,289,train,von willebrand,von willebrand diseases
2786201,325,328,train,von willebrand disease,von willebrand diseases
2786201,677,689,train,type iia von willebrand disease,"von willebrand disease, type 2"
2786201,989,1001,train,type iia von willebrand disease,"von willebrand disease, type 2"
2792129,0,58,train,familial deficiency of the seventh component of complement,complement component 7 deficiency
2792129,85,109,train,meningococcal infections,meningococcal infections
2792129,158,178,train,recurrent meningitis,meningitis|recurrence
2792129,195,240,train,absence of the seventh component of complemen,complement component 7 deficiency
2792129,628,641,train,c7 deficiency,complement component 7 deficiency
2817003,58,75,train,isolated aniridia,aniridia
2817003,104,121,train,isolated aniridia,aniridia
2817003,441,449,train,aniridia,aniridia
2828430,0,34,train,homozygous hypobetalipoproteinemia,hypobetalipoproteinemias
2828430,60,83,train,abetalipoproproteinemia,abetalipoproteinemia
2828430,158,192,train,homozygous hypobetalipoproteinemia,hypobetalipoproteinemias
2828430,194,197,train,hypobetalipoproteinemia,hypobetalipoproteinemias
2828430,441,444,train,hypobetalipoproteinemia,hypobetalipoproteinemias
2828430,570,573,train,hypobetalipoproteinemia,hypobetalipoproteinemias
2828430,749,752,train,hypobetalipoproteinemia,hypobetalipoproteinemias
2828430,875,878,train,hypobetalipoproteinemia,hypobetalipoproteinemias
2828430,1010,1030,train,abetalipoproteinemia,abetalipoproteinemia
2835825,31,42,train,lesch-nyhan,lesch-nyhan syndrome
2835825,130,150,train,lesch-nyhan syndrome,lesch-nyhan syndrome
2835825,596,608,train,epstein-barr,epstein-barr virus infections
2835825,1034,1054,train,lesch-nyhan syndrome,lesch-nyhan syndrome
2852474,0,34,train,complex glycerol kinase deficiency,hyperglycerolemia
2852474,149,183,train,complex glycerol kinase deficiency,hyperglycerolemia
2852474,185,189,train,complex glycerol kinase deficiency,hyperglycerolemia
2852474,297,315,train,muscular dystrophy,muscular dystrophies
2852474,319,334,train,muscle weakness,muscle weakness
2852474,336,354,train,mental retardation,intellectual disability
2852474,356,385,train,congenital adrenal hypoplasia,"adrenal hyperplasia, congenital"
2852474,391,417,train,glycerol kinase deficiency,hyperglycerolemia
2852474,1222,1226,train,complex glycerol kinase deficiency,hyperglycerolemia
2852474,1230,1257,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
2852474,1259,1262,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2852474,1348,1371,train,gonadotropin deficiency,"eunuchoidism, familial hypogonadotropic"
2852474,1373,1376,train,gonadotropin deficiency,"eunuchoidism, familial hypogonadotropic"
2852474,1500,1503,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2852474,1547,1576,train,congenital adrenal hypoplasia,"adrenal hyperplasia, congenital"
2852474,1578,1581,train,"adrenal hyperplasia, congenital","adrenal hyperplasia, congenital"
2852474,1587,1590,train,gonadotropin deficiency,"eunuchoidism, familial hypogonadotropic"
2862466,56,91,train,autoimmune chronic active hepatitis,"hepatitis, chronic"
2862466,113,148,train,autoimmune chronic active hepatitis,"hepatitis, chronic"
2862466,150,153,train,chronic active hepatitis,"hepatitis, chronic"
2862466,709,712,train,chronic active hepatitis,"hepatitis, chronic"
2862466,997,1010,train,c4 deficiency,complement component 4a deficiency|complement component 4b deficiency
2884570,39,54,train,phenylketonuria,phenylketonurias
2884570,106,121,train,phenylketonuria,phenylketonurias
2884570,123,126,train,phenylketonuria,phenylketonurias
2884570,134,176,train,autosomal recessive human genetic disorder,"genetic diseases, inborn"
2884570,189,236,train,deficiency of hepatic phenylalanine hydroxylase,phenylketonurias
2884570,292,295,train,phenylketonuria,phenylketonurias
2884570,308,345,train,inborn error of amino-acid metabolism,"amino acid metabolism, inborn errors"
2884570,427,430,train,phenylketonuria,phenylketonurias
2884570,472,475,train,phenylketonuria,phenylketonurias
2884570,642,645,train,phenylketonuria,phenylketonurias
2884570,888,904,train,molecular lesion,"genetic diseases, inborn"
2886237,0,13,train,choroideremia,choroideremia
2886237,210,227,train,x-linked disorder,"genetic diseases, x-linked"
2886237,229,242,train,choroideremia,choroideremia
2886237,255,258,train,tapetochoroidal dystrophy,progressive tapetochoroidal dystrophy
2886237,263,301,train,progressive tapeto-choroidal dystrophy,progressive tapetochoroidal dystrophy
2886237,476,479,train,tapetochoroidal dystrophy,progressive tapetochoroidal dystrophy
2886237,900,903,train,tapetochoroidal dystrophy,progressive tapetochoroidal dystrophy
2886237,985,988,train,tapetochoroidal dystrophy,progressive tapetochoroidal dystrophy
2886237,1065,1068,train,tapetochoroidal dystrophy,progressive tapetochoroidal dystrophy
2886237,1163,1166,train,tapetochoroidal dystrophy,progressive tapetochoroidal dystrophy
2894613,0,25,train,von hippel-lindau disease,von hippel-lindau disease
2894613,77,97,train,renal cell carcinoma,"carcinoma, renal cell"
2894613,99,124,train,von hippel-lindau disease,von hippel-lindau disease
2894613,126,129,train,von hippel-lindau,von hippel-lindau disease
2894613,137,164,train,autosomal dominant disorder,"genetic diseases, inborn"
2894613,215,221,train,cancer,neoplasms
2894613,233,250,train,hemangioblastomas,hemangioblastoma
2894613,282,300,train,phaeochromocytomas,pheochromocytoma
2894613,302,325,train,pancreatic malignancies,pancreatic neoplasms
2894613,331,352,train,renal cell carcinomas,"carcinoma, renal cell"
2894613,354,375,train,renal cell carcinomas,"carcinoma, renal cell"
2894613,457,489,train,bilateral and multifocal tumours,neoplasms
2894613,569,575,train,tumour,neoplasms
2894613,606,609,train,von hippel-lindau,von hippel-lindau disease
2894613,750,753,train,von hippel-lindau,von hippel-lindau disease
2894613,804,807,train,von hippel-lindau,von hippel-lindau disease
2894613,917,923,train,tumour,neoplasms
2894613,972,978,train,tumour,neoplasms
2894613,1028,1070,train,inherited and sporadic forms of the cancer,neoplasms
2894613,1072,1102,train,sporadic renal cell carcinomas,"carcinoma, renal cell"
2894613,1241,1261,train,renal cell carcinoma,"carcinoma, renal cell"
2894613,1334,1340,train,tumour,neoplasms
2895982,40,71,train,lowe oculocerebrorenal syndrome,oculocerebrorenal syndrome
2895982,117,148,train,lowe oculocerebrorenal syndrome,oculocerebrorenal syndrome
2895982,150,154,train,oculocerebrorenal syndrome,oculocerebrorenal syndrome
2895982,187,195,train,cataract,cataract
2895982,197,215,train,mental retardation,intellectual disability
2895982,221,253,train,defective renal tubular function,"renal tubular transport, inborn errors"
2895982,275,279,train,oculocerebrorenal syndrome,oculocerebrorenal syndrome
2895982,639,643,train,oculocerebrorenal syndrome,oculocerebrorenal syndrome
2895982,821,834,train,lowe syndrome,oculocerebrorenal syndrome
2895982,1284,1288,train,oculocerebrorenal syndrome,oculocerebrorenal syndrome
2895982,1441,1445,train,oculocerebrorenal syndrome,oculocerebrorenal syndrome
2910902,131,151,train,lesch-nyhan syndrome,lesch-nyhan syndrome
2910902,162,222,train,deficiency of hypoxanthine-guanine phosphoribosyltransferase,lesch-nyhan syndrome
2910902,241,261,train,lesch-nyhan syndrome,lesch-nyhan syndrome
2910902,349,369,train,lesch-nyhan syndrome,lesch-nyhan syndrome
2912069,218,233,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2912069,636,651,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2912069,699,726,train,glucose 6-phosphate dehydrogenase seattle-like phenotype,glucosephosphate dehydrogenase deficiency
2912069,745,760,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2912069,825,840,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2912886,0,39,train,chronic nonspherocytic hemolytic anemia,"anemia, hemolytic, congenital nonspherocytic"
2912886,41,46,train,congenital nonspherocytic hemolytic anemia,"anemia, hemolytic, congenital nonspherocytic"
2912886,52,103,train,glucose 6 phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2912886,122,157,train,familial amyloidotic polyneuropathy,"amyloid neuropathies, familial"
2912886,159,162,train,familial amyloidotic polyneuropathy,"amyloid neuropathies, familial"
2912886,312,340,train,erythrocytic glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
2912886,402,441,train,chronic nonspherocytic hemolytic anemia,"anemia, hemolytic, congenital nonspherocytic"
2912886,443,448,train,congenital nonspherocytic hemolytic anemia,"anemia, hemolytic, congenital nonspherocytic"
2912886,454,489,train,familial amyloidotic polyneuropathy,"amyloid neuropathies, familial"
2912886,491,494,train,familial amyloidotic polyneuropathy,"amyloid neuropathies, familial"
2912886,497,514,train,chronic hemolysis,hemolysis
2927388,76,90,train,retinoblastoma,retinoblastoma
2927388,184,198,train,retinoblastoma,retinoblastoma
2927388,838,852,train,retinoblastoma,retinoblastoma
2927388,1570,1584,train,retinoblastoma,retinoblastoma
2963536,10,23,train,c3 deficiency,"complement component 3 deficiency, autosomal recessive"
2963536,54,72,train,glomerulonephritis,glomerulonephritis
2963536,115,162,train,deficiency of the third component of complement,"complement component 3 deficiency, autosomal recessive"
2963536,177,197,train,bacterial infections,bacterial infections
2963536,583,592,train,pneumonia,pneumonia
2963536,697,730,train,mesangiopathic glomerulonephritis,glomerulonephritis
2963536,865,878,train,c3 deficiency,"complement component 3 deficiency, autosomal recessive"
2963536,884,906,train,immune-complex disease,immune complex diseases
2963536,1008,1027,train,pyogenic infections,infection
2963536,1045,1058,train,c3 deficiency,"complement component 3 deficiency, autosomal recessive"
2989709,312,329,train,deficiency of aat,aat deficiency
2989709,484,493,train,emphysema,emphysema
2989709,498,511,train,liver disease,liver diseases
2995231,60,98,train,duchenne and becker muscular dystrophy,"muscular dystrophy, duchenne|becker's muscular dystrophy"
2995231,198,225,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
2995231,227,230,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2995231,236,261,train,becker muscular dystrophy,becker's muscular dystrophy
2995231,263,266,train,becker's muscular dystrophy,becker's muscular dystrophy
2995231,272,275,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2995231,360,363,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2995231,407,410,train,becker's muscular dystrophy,becker's muscular dystrophy
2995231,989,992,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
2995231,997,1000,train,becker's muscular dystrophy,becker's muscular dystrophy
3012567,83,104,train,prader-willi syndrome,prader-willi syndrome
3012567,218,239,train,prader-willi syndrome,prader-willi syndrome
3012567,241,244,train,"prader-willi syndrome
",prader-willi syndrome
3012567,704,707,train,"prader-willi syndrome
",prader-willi syndrome
3012567,1215,1218,train,"prader-willi syndrome
",prader-willi syndrome
3012567,1253,1278,train,chromosomal abnormalities,chromosome aberrations
3014348,48,86,train,becker and duchenne muscular dystrophy,"muscular dystrophy, duchenne|becker's muscular dystrophy"
3014348,88,115,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
3014348,117,120,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3014348,128,163,train,x-linked recessive genetic disorder,"genetic diseases, x-linked"
3014348,540,543,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3014348,650,653,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3014348,759,762,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3014348,1050,1053,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3014348,1058,1083,train,becker muscular dystrophy,becker's muscular dystrophy
3014348,1085,1088,train,becker's muscular dystrophy,becker's muscular dystrophy
3014348,1161,1164,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3014348,1255,1258,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3014348,1378,1381,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3029599,29,49,train,lesch-nyhan syndrome,lesch-nyhan syndrome
3029599,110,130,train,lesch-nyhan syndrome,lesch-nyhan syndrome
3029599,141,178,train,neurological and behavioural disorder,nervous system diseases|mental disorders
3029599,224,244,train,inherited deficiency,"genetic diseases, inborn"
3029599,454,465,train,lesch-nyhan,lesch-nyhan syndrome
3029599,636,656,train,lesch-nyhan syndrome,lesch-nyhan syndrome
3029599,1001,1012,train,lesch-nyhan,lesch-nyhan syndrome
3032521,75,89,train,retinoblastoma,retinoblastoma
3032521,423,437,train,retinoblastoma,retinoblastoma
3032521,490,504,train,retinoblastoma,retinoblastoma
3162536,16,34,train,muscular dystrophy,muscular dystrophies
3162536,146,183,train,duchenne or becker muscular dystrophy,"muscular dystrophy, duchenne|becker's muscular dystrophy"
3162536,185,188,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3162536,192,195,train,becker's muscular dystrophy,becker's muscular dystrophy
3162536,392,395,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3162536,471,474,train,becker's muscular dystrophy,becker's muscular dystrophy
3162536,546,549,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3162536,664,667,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3169738,30,68,train,duchenne and becker muscular dystrophy,"muscular dystrophy, duchenne|becker's muscular dystrophy"
3169738,95,133,train,duchenne and becker muscular dystrophy,"muscular dystrophy, duchenne|becker's muscular dystrophy"
3169738,135,138,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3169738,143,146,train,becker's muscular dystrophy,becker's muscular dystrophy
3169738,250,253,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3169738,403,406,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3169738,430,433,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3169738,441,444,train,becker's muscular dystrophy,becker's muscular dystrophy
3169738,472,475,train,becker's muscular dystrophy,becker's muscular dystrophy
3169738,606,609,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3198117,218,235,train,enzyme deficiency,"metabolism, inborn errors"
3198117,687,702,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3258663,45,59,train,von willebrand,von willebrand diseases
3258663,100,129,train,severe von willebrand disease,"von willebrand disease, type 3"
3258663,131,160,train,severe von willebrand disease,"von willebrand disease, type 3"
3258663,217,231,train,von willebrand,von willebrand diseases
3258663,1152,1171,train,genetic abnormality,"genetic diseases, inborn"
3258663,1278,1299,train,genetic abnormalities,"genetic diseases, inborn"
3258663,1519,1548,train,severe von willebrand disease,"von willebrand disease, type 3"
3343337,0,24,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,254,272,train,inherited disorder,"genetic diseases, inborn"
3343337,274,298,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,300,303,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,313,316,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,548,551,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,778,781,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,859,862,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,1029,1032,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,1069,1072,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,1219,1222,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,1328,1331,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,1382,1385,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,1389,1438,train,deficiency of fatty alcohol  nad + oxidoreductase,sjogren-larsson syndrome
3343337,1440,1443,train,sjogren-larsson syndrome,sjogren-larsson syndrome
3343337,1465,1483,train,inherited disorder,"genetic diseases, inborn"
3343337,1519,1558,train,abnormality in fatty alcohol metabolism,"fatty liver, alcoholic"
3346017,22,49,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
3346017,72,99,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
3346017,101,104,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3346017,184,187,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3346018,16,19,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3346018,91,94,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3346018,166,193,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
3346018,195,198,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3346018,275,278,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3347839,25,52,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
3347839,177,204,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
3347839,473,483,train,dystrophic,"muscular dystrophy, duchenne"
3347839,585,612,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
3347839,614,617,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3347839,643,661,train,mental retardation,intellectual disability
3347839,676,679,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
3348216,0,44,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3348216,62,84,train,hematologic malignancy,hematologic neoplasms
3348216,153,204,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3348216,209,215,train,cancer,neoplasms
3348216,256,282,train,hematological malignancies,hematologic neoplasms
3348216,301,316,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3348216,539,558,train,hematologic disease,hematologic diseases
3348216,655,670,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3348216,718,739,train,hematologic neoplasms,hematologic neoplasms
3354603,0,14,train,hepatoblastoma,hepatoblastoma
3354603,16,47,train,pigmented ocular fundus lesions,"eye infections, fungal"
3354603,52,63,train,jaw lesions,jaw diseases
3354603,67,83,train,gardner syndrome,gardner syndrome
3354603,85,99,train,hepatoblastoma,hepatoblastoma
3354603,110,118,train,neoplasm,neoplasms
3354603,188,233,train,hereditary adenomatous polyposis of the colon,adenomatous polyposis coli
3354603,288,302,train,hepatoblastoma,hepatoblastoma
3354603,337,353,train,gardner syndrome,gardner syndrome
3354603,355,357,train,gardner syndrome,gardner syndrome
3354603,421,435,train,hepatoblastoma,hepatoblastoma
3354603,478,480,train,gardner syndrome,gardner syndrome
3354603,503,511,train,odontoma,odontoma
3354603,516,547,train,pigmented ocular fundus lesions,"eye infections, fungal"
3354603,605,607,train,gardner syndrome,gardner syndrome
3354603,640,642,train,gardner syndrome,gardner syndrome
3354603,685,708,train,osteomatous jaw lesions,jaw diseases
3354603,713,744,train,pigmented ocular fundus lesions,"eye infections, fungal"
3354603,759,773,train,colonic polyps,colonic polyps
3354603,830,844,train,hepatoblastoma,hepatoblastoma
3354603,927,941,train,colonic polyps,colonic polyps
3354603,958,969,train,jaw lesions,jaw diseases
3354603,977,1008,train,pigmented ocular fundus lesions,"eye infections, fungal"
3354603,1078,1080,train,gardner syndrome,gardner syndrome
3362213,54,71,train,tay-sachs disease,tay-sachs disease
3362213,73,90,train,tay-sachs disease,tay-sachs disease
3362213,97,133,train,autosomal recessive genetic disorder,"genetic diseases, inborn"
3362213,1046,1063,train,tay-sachs disease,tay-sachs disease
3377761,0,53,train,x-linked glucose-6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3377761,84,144,train,x-linked glucose-6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3377761,988,1012,train,x-linked glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
3393536,82,99,train,enzyme deficiency,"metabolism, inborn errors"
3393536,119,135,train,hemolytic anemia,"anemia, hemolytic"
