pmid,start,end,mention,set,concept,code
11027905,372,376,pain,train,pain,pain
11027905,396,412,neuropathic pain,train,neuralgia,neuralgia
11027905,44,50,cancer,train,neoplasms,neoplasms
11027905,503,509,cancer,train,neoplasms,neoplasms
11027905,525,529,pain,train,pain,pain
11027905,618,622,pain,train,pain,pain
11027905,663,669,nausea,train,nausea,nausea
11027905,674,682,vomiting,train,vomiting,vomiting
11027905,696,705,confusion,train,confusion,confusion
11027905,711,720,dry mouth,train,xerostomia,xerostomia
11058428,100,118,spinal cord injury,dev,spinal cord injuries,spinal cord injuries
11058428,1038,1046,myopathy,dev,muscular diseases,muscular diseases
11058428,208,226,spinal cord injury,dev,spinal cord injuries,spinal cord injuries
11058428,314,322,myopathy,dev,muscular diseases,muscular diseases
11058428,50,68,spinal cord injury,dev,spinal cord injuries,spinal cord injuries
11058428,565,585,damage to the muscle,dev,muscular diseases,muscular diseases
11058428,589,607,spinal cord injury,dev,spinal cord injuries,spinal cord injuries
11058428,635,643,myopathy,dev,muscular diseases,muscular diseases
11058428,788,796,myopathy,dev,muscular diseases,muscular diseases
11058428,862,880,spinal cord injury,dev,spinal cord injuries,spinal cord injuries
11063349,1005,1035,pneumocystis carinii pneumonia,dev,"pneumonia, pneumocystis","pneumonia, pneumocystis"
11063349,1041,1065,infectious mononucleosis,dev,infectious mononucleosis,infectious mononucleosis
11063349,1082,1086,posttransplant lymphoproliferative disorder,dev,lymphoproliferative disorders,lymphoproliferative disorders
11063349,1116,1140,bronchiolitis obliterans,dev,bronchiolitis obliterans,bronchiolitis obliterans
11063349,1215,1224,pneumonia,dev,pneumonia,pneumonia
11063349,1233,1237,posttransplant lymphoproliferative disorder,dev,lymphoproliferative disorders,lymphoproliferative disorders
11063349,1255,1269,aphtous ulcers,dev,"stomatitis, aphthous","stomatitis, aphthous"
11063349,1563,1593,pneumocystis carinii pneumonia,dev,"pneumonia, pneumocystis","pneumonia, pneumocystis"
11063349,249,257,toxicity,dev,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11063349,498,512,nephrotoxicity,dev,kidney diseases,kidney diseases
11063349,536,544,toxicity,dev,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11063349,557,575,facial dysmorphism,dev,-1,NA
11063349,581,624,posttransplant lymphoproliferative disorder,dev,lymphoproliferative disorders,lymphoproliferative disorders
11063349,626,630,posttransplant lymphoproliferative disorder,dev,lymphoproliferative disorders,lymphoproliferative disorders
11063349,654,668,hepatotoxicity,dev,drug-induced liver injury,drug-induced liver injury
11063349,760,774,nephrotoxicity,dev,kidney diseases,kidney diseases
11063349,888,906,facial dysmorphism,dev,-1,NA
11063349,947,951,posttransplant lymphoproliferative disorder,dev,lymphoproliferative disorders,lymphoproliferative disorders
11063349,990,999,pneumonia,dev,pneumonia,pneumonia
11077455,142,167,visual field constriction,dev,vision disorders,vision disorders
11077455,1497,1522,visual field constriction,dev,vision disorders,vision disorders
11077455,190,215,visual field constriction,dev,vision disorders,vision disorders
11077455,405,422,visual field loss,dev,vision disorders,vision disorders
11077455,884,909,visual field constriction,dev,vision disorders,vision disorders
11078231,0,19,myocardial ischemia,dev,myocardial ischemia,myocardial ischemia
11078231,1099,1109,chest pain,dev,chest pain,chest pain
11078231,1136,1146,chest pain,dev,chest pain,chest pain
11078231,1259,1273,coronary spasm,dev,coronary vasospasm,coronary vasospasm
11078231,1296,1319,coronary spastic angina,dev,"angina pectoris, variant","angina pectoris, variant"
11078231,1355,1378,coronary artery disease,dev,coronary artery disease,coronary artery disease
11078231,1395,1412,coronary stenosis,dev,coronary stenosis,coronary stenosis
11078231,1423,1437,coronary spasm,dev,coronary vasospasm,coronary vasospasm
11078231,175,194,myocardial ischemia,dev,myocardial ischemia,myocardial ischemia
11078231,27,48,coronary artery spasm,dev,coronary vasospasm,coronary vasospasm
11078231,349,373,coronary artery stenosis,dev,coronary stenosis,coronary stenosis
11078231,426,445,myocardial ischemia,dev,myocardial ischemia,myocardial ischemia
11078231,453,467,coronary spasm,dev,coronary vasospasm,coronary vasospasm
11078231,531,554,coronary spastic angina,dev,"angina pectoris, variant","angina pectoris, variant"
11078231,585,609,coronary artery stenosis,dev,coronary stenosis,coronary stenosis
11078231,628,635,anginal,dev,angina pectoris,angina pectoris
11078231,696,710,variant angina,dev,"angina pectoris, variant","angina pectoris, variant"
11078231,798,822,coronary artery stenosis,dev,coronary stenosis,coronary stenosis
11079278,1493,1512,myocardial ischemia,dev,myocardial ischemia,myocardial ischemia
11079278,95,114,myocardial ischemia,dev,myocardial ischemia,myocardial ischemia
11099450,1051,1062,dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,1066,1078,parkinsonian,dev,parkinson disease,parkinson disease
11099450,1172,1184,parkinsonian,dev,parkinson disease,parkinson disease
11099450,1201,1204,levodopa-induced dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,1266,1277,dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,1282,1294,parkinsonian,dev,parkinson disease,parkinson disease
11099450,1416,1428,parkinsonian,dev,parkinson disease,parkinson disease
11099450,1445,1456,dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,1520,1532,parkinsonism,dev,parkinson disease,parkinson disease
11099450,1595,1598,levodopa-induced dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,1726,1738,parkinsonism,dev,parkinson disease,parkinson disease
11099450,1743,1754,dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,227,239,parkinsonian,dev,parkinson disease,parkinson disease
11099450,273,284,dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,286,289,levodopa-induced dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,652,655,levodopa-induced dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,802,805,levodopa-induced dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
11099450,917,929,parkinsonian,dev,parkinson disease,parkinson disease
11105626,10,34,isotretinoin embryopathy,test,accutane embryopathy,accutane embryopathy
11105626,151,157,anotia,test,congenital microtia,congenital microtia
11105626,162,187,taussig-bing malformation,test,double outlet right ventricle,double outlet right ventricle
11105626,50,56,anotia,test,congenital microtia,congenital microtia
11105626,61,86,taussig-bing malformation,test,double outlet right ventricle,double outlet right ventricle
11135224,1182,1190,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11135224,126,154,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
11135224,1296,1304,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11135224,1784,1795,neutropenia,train,neutropenia,neutropenia
11135224,1800,1816,thrombocytopenia,train,thrombocytopenia,thrombocytopenia
11135224,1904,1909,death,train,death,death
11135224,1926,1936,toxicities,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11135224,2214,2219,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
11135224,259,287,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
11135224,289,294,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
11135224,501,509,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11135224,586,591,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
11135224,659,664,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
11135381,1092,1111,stress incontinence,test,"urinary incontinence, stress","urinary incontinence, stress"
11135381,266,293,urinary stress incontinence,test,"urinary incontinence, stress","urinary incontinence, stress"
11135381,505,524,stress incontinence,test,"urinary incontinence, stress","urinary incontinence, stress"
11135381,724,769,a significant rise in systolic blood pressure,test,hypertension,hypertension
11135381,73,92,stress incontinence,test,"urinary incontinence, stress","urinary incontinence, stress"
11135381,870,878,headache,test,headache,headache
11147747,145,165,urinary incontinence,train,urinary incontinence,urinary incontinence
11147747,325,337,incontinence,train,urinary incontinence,urinary incontinence
11147747,33,53,urinary incontinence,train,urinary incontinence,urinary incontinence
11147747,438,450,incontinence,train,urinary incontinence,urinary incontinence
11147747,732,744,incontinence,train,urinary incontinence,urinary incontinence
11147747,774,786,incontinence,train,urinary incontinence,urinary incontinence
11166519,1055,1063,seizures,train,seizures,seizures
11166519,182,190,seizures,train,seizures,seizures
11166519,22,30,seizures,train,seizures,seizures
11166519,337,344,seizure,train,seizures,seizures
11166519,431,438,seizure,train,seizures,seizures
11166519,471,478,seizure,train,seizures,seizures
1117341,0,13,hyperglycemic,test,hyperglycemia,hyperglycemia
1117341,196,209,hyperglycemia,test,hyperglycemia,hyperglycemia
1117341,266,276,glucosuria,test,"glycosuria, renal","glycosuria, renal"
11176729,1136,1139,congestive heart failure,test,heart failure,heart failure
11176729,1405,1416,hypotension,test,hypotension,hypotension
11176729,1421,1438,renal dysfunction,test,kidney diseases,kidney diseases
11176729,1636,1647,hypotension,test,hypotension,hypotension
11176729,1669,1686,renal dysfunction,test,kidney diseases,kidney diseases
11176729,1690,1702,hyperkalemia,test,hyperkalemia,hyperkalemia
11176729,2194,2202,diabetes,test,diabetes mellitus,diabetes mellitus
11176729,2337,2340,congestive heart failure,test,heart failure,heart failure
11176729,328,341,heart failure,test,heart failure,heart failure
11176729,343,346,congestive heart failure,test,heart failure,heart failure
11176729,710,713,congestive heart failure,test,heart failure,heart failure
11176729,94,107,heart failure,test,heart failure,heart failure
11185967,1250,1278,cocaine or amphetamine abuse,dev,cocaine-related disorders|amphetamine-related disorders,cocaine-related disorders|amphetamine-related disorders
11185967,1395,1402,seizure,dev,seizures,seizures
11185967,1561,1571,drug abuse,dev,substance-related disorders,substance-related disorders
11185967,238,245,seizure,dev,seizures,seizures
11185967,319,326,seizure,dev,seizures,seizures
11185967,58,65,seizure,dev,seizures,seizures
11185967,726,733,seizure,dev,seizures,seizures
11185967,764,771,seizure,dev,seizures,seizures
11185967,818,846,cocaine or amphetamine abuse,dev,cocaine-related disorders|amphetamine-related disorders,cocaine-related disorders|amphetamine-related disorders
11195262,220,279,syndrome of inappropriate secretion of antidiuretic hormone,dev,inappropriate adh syndrome,inappropriate adh syndrome
11195262,281,286,syndrome of inappropriate secretion of antidiuretic hormone,dev,inappropriate adh syndrome,inappropriate adh syndrome
11195262,352,376,tonic-clonic convulsions,dev,"epilepsy, tonic-clonic","epilepsy, tonic-clonic"
11195262,40,99,syndrome of inappropriate secretion of antidiuretic hormone,dev,inappropriate adh syndrome,inappropriate adh syndrome
11195262,515,520,syndrome of inappropriate secretion of antidiuretic hormone,dev,inappropriate adh syndrome,inappropriate adh syndrome
11195262,578,616,weakness of the central nervous system,dev,central nervous system diseases,central nervous system diseases
11198499,0,11,hypotension,train,hypotension,hypotension
11198499,1005,1017,hypertension,train,hypertension,hypertension
11198499,1021,1031,spasticity,train,muscle spasticity,muscle spasticity
11198499,132,144,hypertension,train,hypertension,hypertension
11198499,256,266,spasticity,train,muscle spasticity,muscle spasticity
11198499,278,317,disorders of the central nervous system,train,central nervous system diseases,central nervous system diseases
11198499,351,361,spasticity,train,muscle spasticity,muscle spasticity
11198499,539,550,hypotension,train,hypotension,hypotension
11198499,738,750,hypertension,train,hypertension,hypertension
11198499,765,776,hypotension,train,hypotension,hypotension
11198499,856,866,spasticity,train,muscle spasticity,muscle spasticity
11206082,301,309,seizures,train,seizures,seizures
11206082,770,778,seizures,train,seizures,seizures
11206082,82,90,seizures,train,seizures,seizures
11208990,1059,1082,mesangial proliferation,dev,"mesangial sclerosis, diffuse","mesangial sclerosis, diffuse"
11208990,1092,1123,tubulointerstitial inflammation,dev,"nephritis, interstitial","nephritis, interstitial"
11208990,1170,1181,proteinuria,dev,proteinuria,proteinuria
11208990,1298,1309,nephropathy,dev,kidney diseases,kidney diseases
11208990,1429,1440,nephropathy,dev,kidney diseases,kidney diseases
11208990,1508,1519,nephropathy,dev,kidney diseases,kidney diseases
11208990,1983,1992,nephrosis,dev,nephrosis,nephrosis
11208990,341,359,nephrotic syndrome,dev,nephrotic syndrome,nephrotic syndrome
11208990,670,681,nephropathy,dev,kidney diseases,kidney diseases
11208990,80,91,nephropathy,dev,kidney diseases,kidney diseases
11226639,175,183,narcosis,dev,stupor,stupor
11226639,372,380,narcosis,dev,stupor,stupor
11226639,49,57,narcosis,dev,stupor,stupor
11226639,519,527,narcosis,dev,stupor,stupor
11226639,682,690,narcosis,dev,stupor,stupor
11226639,830,838,narcosis,dev,stupor,stupor
11226639,894,902,narcosis,dev,stupor,stupor
11229942,1135,1158,cardiovascular collapse,test,-1,NA
11229942,122,150,abuse of cocaine and ethanol,test,cocaine-related disorders|alcoholism,cocaine-related disorders|alcoholism
11229942,1405,1431,decrease in cardiac output,test,"cardiac output, low","cardiac output, low"
11229942,1593,1616,ventricular arrhythmias,test,"arrhythmias, cardiac","arrhythmias, cardiac"
11229942,1699,1722,ventricular tachycardia,test,"tachycardia, ventricular","tachycardia, ventricular"
11229942,1857,1873,cardiac toxicity,test,cardiotoxicity,cardiotoxicity
11229942,1969,1990,myocardial depression,test,cardiomyopathies,cardiomyopathies
11229942,291,307,cardiac toxicity,test,cardiotoxicity,cardiotoxicity
11229942,35,47,cardiotoxity,test,cardiotoxicity,cardiotoxicity
11229942,543,557,cardiotoxicity,test,cardiotoxicity,cardiotoxicity
11229942,70,95,cocaine and ethanol abuse,test,cocaine-related disorders|alcoholism,cocaine-related disorders|alcoholism
11230490,1031,1055,congestive heart failure,dev,heart failure,heart failure
11230490,1057,1060,congestive heart failure,dev,heart failure,heart failure
11230490,1108,1113,tumor,dev,neoplasms,neoplasms
11230490,1274,1277,congestive heart failure,dev,heart failure,heart failure
11230490,1304,1318,cardiotoxicity,dev,cardiotoxicity,cardiotoxicity
11230490,1510,1521,neutropenia,dev,neutropenia,neutropenia
11230490,1858,1872,cardiotoxicity,dev,cardiotoxicity,cardiotoxicity
11230490,1885,1896,neutropenia,dev,neutropenia,neutropenia
11230490,2014,2017,metastatic breast cancer,dev,breast neoplasms,breast neoplasms
11230490,223,236,breast cancer,dev,breast neoplasms,breast neoplasms
11230490,437,451,cardiotoxicity,dev,cardiotoxicity,cardiotoxicity
11230490,536,549,breast cancer,dev,breast neoplasms,breast neoplasms
11230490,551,554,metastatic breast cancer,dev,breast neoplasms,breast neoplasms
11230490,618,621,metastatic breast cancer,dev,breast neoplasms,breast neoplasms
11230490,8,22,cardiotoxicity,dev,cardiotoxicity,cardiotoxicity
11230490,876,884,toxicity,dev,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11230490,886,900,cardiotoxicity,dev,cardiotoxicity,cardiotoxicity
11243580,1046,1057,convulsions,dev,seizures,seizures
11243580,241,252,convulsions,dev,seizures,seizures
11243580,50,60,convulsion,dev,seizures,seizures
11243580,823,834,convulsions,dev,seizures,seizures
11243580,936,947,convulsions,dev,seizures,seizures
11245434,1124,1130,anemia,dev,anemia,anemia
11245434,1287,1293,anemia,dev,anemia,anemia
11245434,1302,1314,cytotoxicity,dev,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11245434,1338,1344,tumors,dev,neoplasms,neoplasms
11245434,1368,1374,anemia,dev,anemia,anemia
11245434,1491,1496,tumor,dev,neoplasms,neoplasms
11245434,152,158,anemia,dev,anemia,anemia
11245434,232,244,cytotoxicity,dev,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11245434,28,34,anemia,dev,anemia,anemia
11245434,287,293,tumors,dev,neoplasms,neoplasms
11245434,295,301,anemia,dev,anemia,anemia
11245434,480,486,anemia,dev,anemia,anemia
11245434,646,652,tumors,dev,neoplasms,neoplasms
11245434,657,664,sarcoma,dev,sarcoma,sarcoma
11245434,73,85,cytotoxicity,dev,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
11245434,776,781,tumor,dev,neoplasms,neoplasms
11245434,807,813,tumors,dev,neoplasms,neoplasms
11245434,93,99,tumors,dev,neoplasms,neoplasms
11245434,958,964,tumors,dev,neoplasms,neoplasms
11245434,986,992,anemia,dev,anemia,anemia
11250767,1012,1022,vasculitis,train,vasculitis,vasculitis
11250767,1079,1091,pericarditis,train,pericarditis,pericarditis
11250767,1141,1151,vasculitis,train,vasculitis,vasculitis
11250767,126,138,pericarditis,train,pericarditis,pericarditis
11250767,198,208,vasculitis,train,vasculitis,vasculitis
11250767,226,238,pericarditis,train,pericarditis,pericarditis
11250767,298,313,hyperthyroidism,train,hyperthyroidism,hyperthyroidism
11250767,366,378,pericarditis,train,pericarditis,pericarditis
11250767,380,385,fever,train,fever,fever
11250767,391,409,glomerulonephritis,train,glomerulonephritis,glomerulonephritis
11250767,548,563,graves' disease,train,graves disease,graves disease
11250767,570,585,febrile illness,train,fever,fever
11250767,602,614,pericarditis,train,pericarditis,pericarditis
11250767,95,105,vasculitis,train,vasculitis,vasculitis
11250767,972,984,pericarditis,train,pericarditis,pericarditis
11256525,133,145,hypertensive,train,hypertension,hypertension
11256525,1388,1408,renovascular disease,train,vascular diseases,vascular diseases
11256525,177,204,chronic renal insufficiency,train,"renal insufficiency, chronic","renal insufficiency, chronic"
11256525,19,25,anuria,train,anuria,anuria
11256525,245,251,anuria,train,anuria,anuria
11256525,309,330,myocardial infarction,train,myocardial infarction,myocardial infarction
11256525,336,351,pulmonary edema,train,pulmonary edema,pulmonary edema
11256525,401,421,systolic dysfunction,train,heart diseases,heart diseases
11256525,518,524,anuria,train,anuria,anuria
11256525,746,752,anuria,train,anuria,anuria
11256525,842,853,hypotension,train,hypotension,hypotension
11256525,910,931,renal artery stenosis,train,renal artery obstruction,renal artery obstruction
11256525,950,971,renal artery stenosis,train,renal artery obstruction,renal artery obstruction
11256525,986,999,heart failure,train,heart failure,heart failure
11263551,118,122,pain,train,pain,pain
11263551,1270,1274,cips,train,-1,NA
11263551,272,276,pain,train,pain,pain
11263551,30,34,pain,train,pain,pain
11263551,304,308,pain,train,pain,pain
11263551,45,49,cips,train,-1,NA
11263551,491,509,bone marrow oedema,train,bone marrow diseases|edema,bone marrow diseases|edema
11263551,532,536,pain,train,pain,pain
11263551,586,590,pain,train,pain,pain
11263551,597,625,reflex sympathetic dystrophy,train,reflex sympathetic dystrophy,reflex sympathetic dystrophy
11263551,627,641,polyneuropathy,train,polyneuropathies,polyneuropathies
11263551,643,661,morton's neuralgia,train,neuralgia,neuralgia
11263551,663,667,gout,train,gout,gout
11263551,669,681,osteoporosis,train,osteoporosis,osteoporosis
11263551,683,701,avascular necrosis,train,osteonecrosis,osteonecrosis
11263551,703,728,intermittent claudication,train,intermittent claudication,intermittent claudication
11263551,742,758,foot deformities,train,foot deformities,foot deformities
11263551,760,776,stress fractures,train,"fractures, stress","fractures, stress"
11263551,782,801,hyperparathyroidism,train,hyperparathyroidism,hyperparathyroidism
11263551,930,934,pain,train,pain,pain
11263551,970,974,pain,train,pain,pain
11263551,985,989,cips,train,-1,NA
11271907,6,30,haemorrhagic myocarditis,dev,hemorrhage|myocarditis,hemorrhage|myocarditis
11271907,70,94,haemorrhagic myocarditis,dev,hemorrhage|myocarditis,hemorrhage|myocarditis
11279304,1042,1055,heart failure,train,heart failure,heart failure
11279304,1169,1182,heart failure,train,heart failure,heart failure
11279304,1275,1288,heart failure,train,heart failure,heart failure
11279304,1382,1395,heart failure,train,heart failure,heart failure
11279304,1536,1549,heart failure,train,heart failure,heart failure
11279304,1669,1683,cardiotoxicity,train,cardiotoxicity,cardiotoxicity
11279304,172,186,cardiotoxicity,train,cardiotoxicity,cardiotoxicity
11279304,192,206,cardiotoxicity,train,cardiotoxicity,cardiotoxicity
11279304,337,356,cardiac dysfunction,train,heart diseases,heart diseases
11279304,517,531,cardiotoxicity,train,cardiotoxicity,cardiotoxicity
11279304,549,563,acute leukemia,train,"leukemia, myeloid, acute","leukemia, myeloid, acute"
11279304,641,655,acute leukemia,train,"leukemia, myeloid, acute","leukemia, myeloid, acute"
11279304,66,80,cardiotoxicity,train,cardiotoxicity,cardiotoxicity
11279304,928,952,congestive heart failure,train,heart failure,heart failure
11282081,107,125,atrial tachycardia,dev,"tachycardia, supraventricular","tachycardia, supraventricular"
11282081,1504,1506,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,1569,1571,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,1588,1590,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,1748,1750,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,188,207,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,1957,1959,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,209,211,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,2103,2105,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,24,43,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,339,341,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,362,364,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,461,463,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,781,783,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,811,813,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11282081,865,867,atrial fibrillation,dev,atrial fibrillation,atrial fibrillation
11284996,101,122,tension-type headache,dev,tension-type headache,tension-type headache
11284996,1303,1311,headache,dev,headache,headache
11284996,176,184,headache,dev,headache,headache
11284996,188,205,primary headaches,dev,"headache disorders, primary","headache disorders, primary"
11284996,354,362,headache,dev,headache,headache
11284996,441,462,tension-type headache,dev,tension-type headache,tension-type headache
11284996,588,596,headache,dev,headache,headache
11284996,67,75,headache,dev,headache,headache
11284996,763,771,headache,dev,headache,headache
11284996,819,827,headache,dev,headache,headache
11299446,13,25,parkinsonism,test,"parkinson disease, secondary","parkinson disease, secondary"
11299446,137,156,parkinson's disease,test,"parkinson disease, secondary","parkinson disease, secondary"
11302406,1079,1094,qt prolongation,dev,long qt syndrome,long qt syndrome
11302406,1098,1101,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,1132,1136,nonsustained ventricular tachycardia,dev,"tachycardia, ventricular","tachycardia, ventricular"
11302406,1141,1175,premature ventricular contractions,dev,ventricular premature complexes,ventricular premature complexes
11302406,115,118,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,1378,1409,prolongation of the qt interval,dev,long qt syndrome,long qt syndrome
11302406,1422,1425,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,1549,1572,ventricular arrhythmias,dev,"arrhythmias, cardiac","arrhythmias, cardiac"
11302406,162,165,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,20,38,torsade de pointes,dev,torsades de pointes,torsades de pointes
11302406,273,276,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,364,367,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,379,402,coronary artery disease,dev,coronary artery disease,coronary artery disease
11302406,404,418,cardiomyopathy,dev,cardiomyopathies,cardiomyopathies
11302406,420,444,congestive heart failure,dev,heart failure,heart failure
11302406,551,554,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,560,563,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,647,681,premature ventricular contractions,dev,ventricular premature complexes,ventricular premature complexes
11302406,699,722,ventricular tachycardia,dev,"tachycardia, ventricular","tachycardia, ventricular"
11302406,724,728,nonsustained ventricular tachycardia,dev,"tachycardia, ventricular","tachycardia, ventricular"
11302406,903,906,torsades de pointes,dev,torsades de pointes,torsades de pointes
11302406,934,944,depression,dev,depressive disorder,depressive disorder
11302406,95,113,torsade de pointes,dev,torsades de pointes,torsades de pointes
1130930,0,14,nephrotoxicity,train,kidney diseases,kidney diseases
1130930,140,162,oliguric renal failure,train,oliguria|renal insufficiency,oliguria|renal insufficiency
1130930,352,366,nephrotoxicity,train,kidney diseases,kidney diseases
1130930,474,493,renal insufficiency,train,renal insufficiency,renal insufficiency
1130930,82,104,acute tubular necrosis,train,"kidney tubular necrosis, acute","kidney tubular necrosis, acute"
11334364,108,122,nephrotoxicity,train,kidney diseases,kidney diseases
11334364,143,156,lung toxicity,train,lung diseases,lung diseases
11334364,1576,1589,tissue damage,train,soft tissue injuries,soft tissue injuries
11334364,181,195,cardiotoxicity,train,cardiotoxicity,cardiotoxicity
11334364,2011,2019,necrosis,train,necrosis,necrosis
11334364,565,579,nephrotoxicity,train,kidney diseases,kidney diseases
11334364,58,66,necrotic,train,necrosis,necrosis
11334364,606,619,lung toxicity,train,lung diseases,lung diseases
11334364,651,665,cardiotoxicity,train,cardiotoxicity,cardiotoxicity
11337188,0,37,cutaneous leucocytoclastic vasculitis,dev,"vasculitis, leukocytoclastic, cutaneous","vasculitis, leukocytoclastic, cutaneous"
11337188,1115,1142,leucocytoclastic vasculitis,dev,"vasculitis, leukocytoclastic, cutaneous","vasculitis, leukocytoclastic, cutaneous"
11337188,138,170,staphylococcus aureus bacteremia,dev,staphylococcal infections|bacteremia,staphylococcal infections|bacteremia
11337188,182,195,renal failure,dev,renal insufficiency,renal insufficiency
11337188,229,245,purpuric lesions,dev,purpura,purpura
11337188,259,276,necrotic blisters,dev,necrosis|blister,necrosis|blister
11337188,348,375,leucocytoclastic vasculitis,dev,"vasculitis, leukocytoclastic, cutaneous","vasculitis, leukocytoclastic, cutaneous"
11337188,454,458,rash,dev,exanthema,exanthema
11337188,528,555,leucocytoclastic vasculitis,dev,"vasculitis, leukocytoclastic, cutaneous","vasculitis, leukocytoclastic, cutaneous"
11337188,577,584,purpura,dev,purpura,purpura
11337188,631,645,abdominal pain,dev,abdominal pain,abdominal pain
11337188,647,657,arthralgia,dev,arthralgia,arthralgia
11337188,663,680,renal involvement,dev,kidney diseases,kidney diseases
11337188,732,742,infections,dev,infection,infection
11337188,757,782,collagen vascular disease,dev,collagen diseases,collagen diseases
11337188,787,796,neoplasia,dev,neoplasms,neoplasms
11366874,126,146,irregular heart beat,test,"arrhythmias, cardiac","arrhythmias, cardiac"
11366874,13,32,irregular heartbeat,test,"arrhythmias, cardiac","arrhythmias, cardiac"
11366874,157,168,bradycardia,test,bradycardia,bradycardia
11366874,190,201,bradycardia,test,bradycardia,bradycardia
11379838,1131,1140,hypomania,train,bipolar disorder,bipolar disorder
11379838,1144,1149,mania,train,bipolar disorder,bipolar disorder
11379838,1283,1288,manic,train,bipolar disorder,bipolar disorder
11379838,1327,1336,hypomanic,train,bipolar disorder,bipolar disorder
11379838,1368,1377,bipolar i,train,bipolar disorder,bipolar disorder
11379838,1382,1392,bipolar ii,train,bipolar disorder,bipolar disorder
11379838,140,145,mania,train,bipolar disorder,bipolar disorder
11379838,1770,1775,manic,train,bipolar disorder,bipolar disorder
11379838,23,28,mania,train,bipolar disorder,bipolar disorder
11379838,260,278,bipolar depression,train,bipolar disorder,bipolar disorder
11379838,32,39,bipolar,train,bipolar disorder,bipolar disorder
11379838,344,360,bipolar disorder,train,bipolar disorder,bipolar disorder
11379838,543,548,manic,train,bipolar disorder,bipolar disorder
11379838,552,561,hypomanic,train,bipolar disorder,bipolar disorder
11379838,658,674,dsm-iv bipolar i,train,bipolar disorder,bipolar disorder
11379838,679,689,bipolar ii,train,bipolar disorder,bipolar disorder
11379838,711,716,manic,train,bipolar disorder,bipolar disorder
11380496,1511,1526,graves' disease,test,graves disease,graves disease
11380496,1848,1868,vasculitic disorders,test,vascular diseases,vascular diseases
11380496,1970,1975,fever,test,fever,fever
11380496,1977,1988,oral ulcers,test,oral ulcer,oral ulcer
